(52,803,4.012),
(52,75,1.12),
(53,54,2.871),
(53,618,3.96),
(53,705,2.44),
(53,50,1.468),
(53,75,1.505),
(54,53,2.871),
(54,58,1.445),
(54,48,2.073),
(58,54,1.734),
(58,60,0.815),
(58,703,0.62),
(60,58,1.059),
(60,61,2.19),
(60,62,1.0),
(61,60,2.19),
(61,706,0.784),
(61,705,0.608),
(62,60,1.0),
(62,63,1.21),
(62,707,1.043),
(63,62,1.452),
(63,74,4.208),
(73,803,1.325),
(74,63,4.854),
(74,801,4.988),
(74,706,1.902),
(803,52,3.646),
(803,73,1.325),
(803,618,1.383),
(618,53,5.321),
(618,803,1.383),
(618,801,1.254),
(618,75,3.45),
(801,74,4.988),
(801,618,1.254),
(706,61,0.784),
(706,74,1.358),
(706,705,1.283),
(706,707,1.288),
(705,53,3.172),
(705,61,0.608),
(705,706,1.283),
(701,49,1.654),
(703,58,0.62),
(707,62,1.043),
(707,706,1.288),
(50,53,1.22),
(50,49,?),
(48,54,1.382),
(49,701,1.654),
(49,50,?),
(49,48,?),
(75,52,1.12),
(75,53,1.505),
(75,618,2.3),
