(36,67,3.67),
(36,71,1.68),
(36,301,1.97),
(48,54,1.38),
(48,56,0.89),
(48,401,0.73),
(54,48,1.66),
(54,58,1.45),
(55,56,0.54),
(56,55,0.54),
(56,57,1.11),
(56,406,0.49),
(57,56,1.11),
(57,402,0.67),
(57,403,0.54),
(57,405,0.51),
(58,48,1.06),
(58,54,1.73),
(58,59,0.42),
(58,60,0.82),
(59,58,0.42),
(59,407,0.18),
(59,4101,0.24),
(60,58,0.82),
(60,62,1.01),
(60,4102,0.79),
(62,60,1.21),
(62,63,1.21),
(62,64,0.86),
(63,62,1.45),
(63,64,0.77),
(63,70,6.05),
(64,62,1.21),
(64,63,0.77),
(64,65,1.91),
(64,306,0.99),
(65,64,1.91),
(65,66,0.51),
(65,69,0.98),
(66,65,0.51),
(66,67,1.42),
(66,68,1.4),
(66,73,0.59),
(67,36,3.19),
(67,66,1.56),
(67,68,1.97),
(67,211,3.05),
(68,66,1.68),
(68,67,2.36),
(68,69,0.82),
(68,71,1.87),
(68,301,2.02),
(68,304,0.63),
(69,65,1.38),
(69,68,0.82),
(69,305,0.56),
(69,306,1.88),
(70,63,6.45),
(70,305,0.78),
(71,68,1.87),
(71,72,1.31),
(72,36,1.68),
(72,71,1.31),
(73,66,0.59),
(73,408,0.4),
(73,409,0.33),
(211,67,3.53),
(301,36,1.97),
(301,68,2.02),
(304,68,0.63),
(305,69,0.56),
(305,70,0.78),
(306,64,0.99),
(306,69,1.88),
(401,48,0.73),
(402,57,0.67),
(403,57,0.54),
(405,57,0.51),
(406,56,0.49),
(407,59,0.18),
(407,4101,0.41),
(408,73,0.4),
(409,73,0.33),
(409,4101,0.5),
(4101,59,0.24),
(4101,407,0.41),
(4101,409,0.5),
(4102,60,0.79),
