(11,12,3.01),
(12,11,2.51),
(12,17,2.52),
(12,107,1.62),
(12,19,1.29),
(12,105,1.39),
(12,21,2.28),
(17,12,1.8),
(18,107,1.07),
(107,12,1.35),
(107,18,1.5),
(107,19,0.99),
(19,12,0.92),
(19,107,0.99),
(19,20,0.47),
(20,19,0.47),
(20,39,0.83),
(20,504,0.9),
(105,12,1.14),
(105,21,1.02),
(21,12,2.28),
(21,105,1.22),
(21,102,1.57),
(21,104,0.39),
(21,101,1.02),
(21,22,2.24),
(21,25,1.93),
(102,21,1.31),
(102,22,1.33),
(104,21,0.39),
(101,21,1.02),
(101,22,0.98),
(101,25,1.23),
(22,21,1.6),
(22,102,0.95),
(22,101,0.7),
(22,23,0.48),
(22,38,1.0),
(22,39,1.296),
(23,22,0.48),
(23,24,0.87),
(23,210,0.64),
(24,23,1.044),
(24,25,0.46),
(24,31,0.69),
(24,209,0.95),
(25,21,1.61),
(25,101,1.23),
(25,24,0.46),
(25,26,0.74),
(25,109,0.51),
(26,25,0.888),
(26,27,0.9),
(26,108,0.25),
(26,109,0.42),
(27,26,1.08),
(27,28,1.26),
(27,29,0.96),
(27,201,0.55),
(28,27,1.512),
(29,27,0.8),
(29,30,0.41),
(29,32,0.81),
(30,29,0.41),
(30,31,0.62),
(30,109,0.24),
(31,24,0.9659999999999999),
(31,30,0.62),
(31,33,0.57),
(32,29,0.81),
(32,35,0.94),
(32,204,0.41),
(33,31,0.57),
(33,34,0.81),
(33,209,0.84),
(34,33,0.81),
(34,35,0.59),
(34,36,0.86),
(35,32,0.94),
(35,34,0.59),
(35,206,0.35),
(36,34,0.86),
(36,67,3.3),
(36,72,1.68),
(36,211,0.854),
(37,38,0.79),
(37,55,1.036),
(37,209,0.85),
(37,211,0.67),
(38,22,1.2),
(38,37,0.948),
(38,209,0.44),
(39,20,0.83),
(39,22,1.08),
(39,40,0.624),
(39,212,1.54),
(40,39,0.52),
(40,41,1.008),
(40,42,1.66),
(41,40,0.84),
(42,40,1.66),
(42,48,0.67),
(42,212,0.32),
(48,42,0.67),
(48,56,0.89),
(55,37,0.74),
(55,56,0.648),
(55,212,1.68),
(56,48,1.068),
(56,55,0.54),
(67,36,2.75),
(67,211,3.48),
(72,36,1.68),
(72,71,1.31),
(72,208,0.34),
(71,72,1.31),
(71,208,1.44),
(108,26,0.25),
(109,25,0.51),
(109,26,0.35),
(109,30,0.24),
(201,27,0.66),
(203,204,0.72),
(204,32,0.41),
(204,203,0.72),
(204,206,2.3),
(206,35,0.35),
(206,204,2.3),
(206,207,0.61),
(206,211,1.71),
(207,206,0.61),
(208,72,0.34),
(208,71,1.44),
(209,24,1.3299999999999998),
(209,33,0.6),
(209,37,1.19),
(209,38,0.616),
(210,23,0.64),
(211,36,0.61),
(211,37,0.67),
(211,67,2.9),
(211,206,1.71),
(212,39,1.1),
(212,42,0.32),
(212,55,1.2),
(504,20,0.75),
