(1,2,1.16),
(2,1,0.96),
(2,3,0.74),
(3,2,0.61),
(3,4,0.99),
(3,5,0.74),
(3,9,3.26),
(3,605,0.99),
(4,3,0.99),
(4,8,1.77),
(4,605,0.23),
(5,3,0.61),
(5,6,0.86),
(5,13,1.52),
(6,5,0.86),
(6,7,1.16),
(6,606,0.28),
(7,6,1.16),
(7,11,0.76),
(7,604,0.31),
(8,4,1.77),
(8,9,0.37),
(8,604,0.27),
(9,3,3.26),
(9,8,0.37),
(9,10,0.67),
(9,11,1.71),
(10,9,0.67),
(11,7,0.76),
(11,9,1.46),
(11,12,3.01),
(12,11,2.5),
(13,5,1.26),
(13,14,1.43),
(13,51,2.86),
(14,13,1.02),
(14,15,0.39),
(14,47,0.7),
(15,14,0.39),
(15,16,0.63),
(16,15,0.63),
(16,17,0.58),
(16,508,0.2),
(17,16,0.58),
(17,18,0.57),
(18,17,0.57),
(18,46,0.66),
(20,504,0.75),
(39,40,1.04),
(40,39,0.52),
(40,41,1.68),
(40,42,1.66),
(41,40,0.84),
(41,43,1.38),
(41,44,0.95),
(41,45,1.72),
(41,50,1.32),
(42,40,1.66),
(42,48,1.38),
(43,41,1.38),
(43,48,1.44),
(44,41,0.95),
(44,45,0.8),
(44,505,0.15),
(45,41,1.72),
(45,44,0.8),
(45,46,0.95),
(45,506,0.2),
(46,18,0.66),
(46,45,0.95),
(46,47,0.9),
(46,506,0.73),
(46,507,0.87),
(47,14,0.7),
(47,46,0.9),
(47,507,1.13),
(48,42,1.38),
(48,43,1.44),
(48,49,1.38),
(49,48,1.38),
(49,50,1.38),
(50,41,1.32),
(50,49,1.38),
(50,51,3.36),
(51,13,2.38),
(504,20,0.75),
(505,44,0.15),
(506,45,0.2),
(506,46,0.73),
(507,46,0.87),
(507,47,1.13),
(604,7,0,31),
(604,8,0,27),
(605,3,0.99),
(605,4,0.23),
(606,6,0.28),
